,survived,sex,age,passengerClass,passengerClass
"Hays, Mrs. Charles Melville (Cl",1,female,52,1st,1st
"Head, Mr. Christopher",0,male,42,1st,1st
"Hilliard, Mr. Herbert Henry",0,male,NA,1st,1st
"Hipkins, Mr. William Edward",0,male,55,1st,1st
"Hippach, Miss. Jean Gertrude",1,female,16,1st,1st
"Hippach, Mrs. Louis Albert (Ida",1,female,44,1st,1st
"Hogeboom, Mrs. John C (Anna And",1,female,51,1st,1st
"Holverson, Mr. Alexander Oskar",0,male,42,1st,1st
"Holverson, Mrs. Alexander Oskar",1,female,35,1st,1st
"Homer, Mr. Harry (Mr E Haven)",1,male,35,1st,1st
"Hoyt, Mr. Frederick Maxfield",1,male,38,1st,1st
"Hoyt, Mr. William Fisher",0,male,NA,1st,1st
"Hoyt, Mrs. Frederick Maxfield (",1,female,35,1st,1st
"Icard, Miss. Amelie",1,female,38,1st,1st
"Isham, Miss. Ann Elizabeth",0,female,50,1st,1st
"Ismay, Mr. Joseph Bruce",1,male,49,1st,1st
"Jones, Mr. Charles Cresson",0,male,46,1st,1st
"Julian, Mr. Henry Forbes",0,male,50,1st,1st
"Keeping, Mr. Edwin",0,male,32.5,1st,1st
"Kent, Mr. Edward Austin",0,male,58,1st,1st
"Kenyon, Mr. Frederick R",0,male,41,1st,1st
"Kenyon, Mrs. Frederick R (Mario",1,female,NA,1st,1st
"Kimball, Mr. Edwin Nelson Jr",1,male,42,1st,1st
"Kimball, Mrs. Edwin Nelson Jr (",1,female,45,1st,1st
"Klaber, Mr. Herman",0,male,NA,1st,1st
"Kreuchen, Miss. Emilie",1,female,39,1st,1st
"Leader, Dr. Alice (Farnham)",1,female,49,1st,1st
"LeRoy, Miss. Bertha",1,female,30,1st,1st
"Lesurer, Mr. Gustave J",1,male,35,1st,1st
"Lewy, Mr. Ervin G",0,male,NA,1st,1st
"Lindeberg-Lind, Mr. Erik Gustaf",0,male,42,1st,1st
"Lindstrom, Mrs. Carl Johan (Sig",1,female,55,1st,1st
"Lines, Miss. Mary Co0ver",1,female,16,1st,1st
"Lines, Mrs. Ernest H (Elizabeth",1,female,51,1st,1st
"Long, Mr. Milton Clyde",0,male,29,1st,1st
"Longley, Miss. Gretchen Fiske",1,female,21,1st,1st
"Loring, Mr. Joseph Holland",0,male,30,1st,1st
"Lurette, Miss. Elise",1,female,58,1st,1st
"Madill, Miss. Georgette Alexand",1,female,15,1st,1st
"Maguire, Mr. John Edward",0,male,30,1st,1st
"Maioni, Miss. Roberta",1,female,16,1st,1st
"Marechal, Mr. Pierre",1,male,NA,1st,1st
"Marvin, Mr. Daniel Warner",0,male,19,1st,1st
"Marvin, Mrs. Daniel Warner (Mar",1,female,18,1st,1st
"Mayne, Mlle. Berthe Antonine (",1,female,24,1st,1st
"McCaffry, Mr. Thomas Francis",0,male,46,1st,1st
"McCarthy, Mr. Timothy J",0,male,54,1st,1st
"McGough, Mr. James Robert",1,male,36,1st,1st
"Meyer, Mr. Edgar Joseph",0,male,28,1st,1st
"Meyer, Mrs. Edgar Joseph (Leila",1,female,NA,1st,1st
"Millet, Mr. Francis Davis",0,male,65,1st,1st
"Minahan, Dr. William Edward",0,male,44,1st,1st
"Minahan, Miss. Daisy E",1,female,33,1st,1st
"Minahan, Mrs. William Edward (L",1,female,37,1st,1st
"Mock, Mr. Philipp Edmund",1,male,30,1st,1st
"Molson, Mr. Harry Markland",0,male,55,1st,1st
"Moore, Mr. Clarence Bloomfield",0,male,47,1st,1st
"Natsch, Mr. Charles H",0,male,37,1st,1st
"Newell, Miss. Madeleine",1,female,31,1st,1st
"Newell, Miss. Marjorie",1,female,23,1st,1st
"Newell, Mr. Arthur Webster",0,male,58,1st,1st
"Newsom, Miss. Helen Monypeny",1,female,19,1st,1st
"Nicholson, Mr. Arthur Ernest",0,male,64,1st,1st
"Oliva y Ocana, Dona. Fermina",1,female,39,1st,1st
"Omont, Mr. Alfred Fernand",1,male,NA,1st,1st
"Ostby, Miss. Helene Ragnhild",1,female,22,1st,1st
"Ostby, Mr. Engelhart Cornelius",0,male,65,1st,1st
"Ovies y Rodriguez, Mr. Servando",0,male,28.5,1st,1st
"Parr, Mr. William Henry Marsh",0,male,NA,1st,1st
"Partner, Mr. Austen",0,male,45.5,1st,1st
"Payne, Mr. Vivian Ponsonby",0,male,23,1st,1st
"Pears, Mr. Thomas Clinton",0,male,29,1st,1st
"Pears, Mrs. Thomas (Edith Wearn",1,female,22,1st,1st
"Penasco y Castellana, Mr. Victo",0,male,18,1st,1st
"Penasco y Castellana, Mrs. Vict",1,female,17,1st,1st
"Perreault, Miss. Anne",1,female,30,1st,1st
"Peuchen, Major. Arthur Godfrey",1,male,52,1st,1st
"Porter, Mr. Walter Chamberlain",0,male,47,1st,1st
"Potter, Mrs. Thomas Jr (Lily Al",1,female,56,1st,1st
"Reuchlin, Jonkheer. John George",0,male,38,1st,1st
"Rheims, Mr. George Alexander Lu",1,male,NA,1st,1st
"Ringhini, Mr. Sante",0,male,22,1st,1st
"Robbins, Mr. Victor",0,male,NA,1st,1st
"Robert, Mrs. Edward Scott (Elis",1,female,43,1st,1st
"Roebling, Mr. Washington August",0,male,31,1st,1st
"Romaine, Mr. Charles Hallace (",1,male,45,1st,1st
"Rood, Mr. Hugh Roscoe",0,male,NA,1st,1st
"Rosenbaum, Miss. Edith Louise",1,female,33,1st,1st
"Rosenshine, Mr. George (Mr Geo",0,male,46,1st,1st
"Ross, Mr. John Hugo",0,male,36,1st,1st
"Rothes, the Countess. of (Lucy",1,female,33,1st,1st
"Rothschild, Mr. Martin",0,male,55,1st,1st
"Rothschild, Mrs. Martin (Elizab",1,female,54,1st,1st
"Rowe, Mr. Alfred G",0,male,33,1st,1st
"Ryerson, Master. John Borie",1,male,13,1st,1st
"Ryerson, Miss. Emily Borie",1,female,18,1st,1st
"Ryerson, Miss. Susan Parker Su",1,female,21,1st,1st
"Ryerson, Mr. Arthur Larned",0,male,61,1st,1st
"Ryerson, Mrs. Arthur Larned (Em",1,female,48,1st,1st
"Saalfeld, Mr. Adolphe",1,male,NA,1st,1st
"Sagesser, Mlle. Emma",1,female,24,1st,1st
"Salomon, Mr. Abraham L",1,male,NA,1st,1st
"Schabert, Mrs. Paul (Emma Mock)",1,female,35,1st,1st
"Serepeca, Miss. Augusta",1,female,30,1st,1st
"Seward, Mr. Frederic Kimber",1,male,34,1st,1st
"Shutes, Miss. Elizabeth W",1,female,40,1st,1st
"Silverthorne, Mr. Spencer Victo",1,male,35,1st,1st
"Silvey, Mr. William Baird",0,male,50,1st,1st
"Silvey, Mrs. William Baird (Ali",1,female,39,1st,1st
"Simonius-Blumer, Col. Oberst Al",1,male,56,1st,1st
"Sloper, Mr. William Thompson",1,male,28,1st,1st
"Smart, Mr. John Montgomery",0,male,56,1st,1st
"Smith, Mr. James Clinch",0,male,56,1st,1st
"Smith, Mr. Lucien Philip",0,male,24,1st,1st
"Smith, Mr. Richard William",0,male,NA,1st,1st
"Smith, Mrs. Lucien Philip (Mary",1,female,18,1st,1st
"Snyder, Mr. John Pillsbury",1,male,24,1st,1st
"Snyder, Mrs. John Pillsbury (Ne",1,female,23,1st,1st
"Spedden, Master. Robert Douglas",1,male,6,1st,1st
"Spedden, Mr. Frederic Oakley",1,male,45,1st,1st
"Spedden, Mrs. Frederic Oakley (",1,female,40,1st,1st
"Spencer, Mr. William Augustus",0,male,57,1st,1st
"Spencer, Mrs. William Augustus",1,female,NA,1st,1st
"Stahelin-Maeglin, Dr. Max",1,male,32,1st,1st
"Stead, Mr. William Thomas",0,male,62,1st,1st
"Stengel, Mr. Charles Emil Henry",1,male,54,1st,1st
"Stengel, Mrs. Charles Emil Henr",1,female,43,1st,1st
"Stephenson, Mrs. Walter Bertram",1,female,52,1st,1st
"Stewart, Mr. Albert A",0,male,NA,1st,1st
"Stone, Mrs. George Nelson (Mart",1,female,62,1st,1st
"Straus, Mr. Isidor",0,male,67,1st,1st
"Straus, Mrs. Isidor (Rosalie Id",0,female,63,1st,1st
"Sutton, Mr. Frederick",0,male,61,1st,1st
"Swift, Mrs. Frederick Joel (Mar",1,female,48,1st,1st
"Taussig, Miss. Ruth",1,female,18,1st,1st
"Taussig, Mr. Emil",0,male,52,1st,1st
"Taussig, Mrs. Emil (Tillie Mand",1,female,39,1st,1st
"Taylor, Mr. Elmer Zebley",1,male,48,1st,1st
"Taylor, Mrs. Elmer Zebley (Juli",1,female,NA,1st,1st
"Thayer, Mr. John Borland",0,male,49,1st,1st
"Thayer, Mr. John Borland Jr",1,male,17,1st,1st
"Thayer, Mrs. John Borland (Mari",1,female,39,1st,1st
"Thorne, Mrs. Gertrude Maybelle",1,female,NA,1st,1st
"Tucker, Mr. Gilbert Milligan Jr",1,male,31,1st,1st
"Uruchurtu, Don. Manuel E",0,male,40,1st,1st
"Van der hoef, Mr. Wyckoff",0,male,61,1st,1st
"Walker, Mr. William Anderson",0,male,47,1st,1st
"Ward, Miss. Anna",1,female,35,1st,1st
"Warren, Mr. Frank Manley",0,male,64,1st,1st
"Warren, Mrs. Frank Manley (Anna",1,female,60,1st,1st
"Weir, Col. John",0,male,60,1st,1st
"White, Mr. Percival Wayland",0,male,54,1st,1st
"White, Mr. Richard Frasar",0,male,21,1st,1st
"White, Mrs. John Stuart (Ella H",1,female,55,1st,1st
"Wick, Miss. Mary Natalie",1,female,31,1st,1st
"Wick, Mr. George Dennick",0,male,57,1st,1st
"Wick, Mrs. George Dennick (Mary",1,female,45,1st,1st
"Widener, Mr. George Dunton",0,male,50,1st,1st
"Widener, Mr. Harry Elkins",0,male,27,1st,1st
"Widener, Mrs. George Dunton (El",1,female,50,1st,1st
"Willard, Miss. Constance",1,female,21,1st,1st
"Williams, Mr. Charles Duane",0,male,51,1st,1st
"Williams, Mr. Richard 0rris II",1,male,21,1st,1st
"Williams-Lambert, Mr. Fletcher",0,male,NA,1st,1st
"Wilson, Miss. Helen Alice",1,female,31,1st,1st
"Woolner, Mr. Hugh",1,male,NA,1st,1st
"Wright, Mr. George",0,male,62,1st,1st
"Young, Miss. Marie Grice",1,female,36,1st,1st
"Abelson, Mr. Samuel",0,male,30,2nd,2nd
"Abelson, Mrs. Samuel (Hannah Wi",1,female,28,2nd,2nd
"Aldworth, Mr. Charles Augustus",0,male,30,2nd,2nd
"Andrew, Mr. Edgardo Samuel",0,male,18,2nd,2nd
"Andrew, Mr. Frank Thomas",0,male,25,2nd,2nd
"Angle, Mr. William A",0,male,34,2nd,2nd
"Angle, Mrs. William A (Florence",1,female,36,2nd,2nd
"Ashby, Mr. John",0,male,57,2nd,2nd
"Bailey, Mr. Percy Andrew",0,male,18,2nd,2nd
"Baimbrigge, Mr. Charles Robert",0,male,23,2nd,2nd
"Ball, Mrs. (Ada E Hall)",1,female,36,2nd,2nd
"Banfield, Mr. Frederick James",0,male,28,2nd,2nd
"Bateman, Rev. Robert James",0,male,51,2nd,2nd
"Beane, Mr. Edward",1,male,32,2nd,2nd
"Beane, Mrs. Edward (Ethel Clark",1,female,19,2nd,2nd
"Beauchamp, Mr. Henry James",0,male,28,2nd,2nd
"Becker, Master. Richard F",1,male,1,2nd,2nd
"Becker, Miss. Marion Louise",1,female,4,2nd,2nd
"Becker, Miss. Ruth Elizabeth",1,female,12,2nd,2nd
"Becker, Mrs. Allen Oliver (Nell",1,female,36,2nd,2nd
"Beesley, Mr. Lawrence",1,male,34,2nd,2nd
"Bentham, Miss. Lilian W",1,female,19,2nd,2nd
"Berriman, Mr. William John",0,male,23,2nd,2nd
"Botsford, Mr. William Hull",0,male,26,2nd,2nd
"Bowenur, Mr. Solomon",0,male,42,2nd,2nd
"Bracken, Mr. James H",0,male,27,2nd,2nd
"Brown, Miss. Amelia Mildred",1,female,24,2nd,2nd
"Brown, Miss. Edith Eileen",1,female,15,2nd,2nd
"Brown, Mr. Thomas William Solom",0,male,60,2nd,2nd
"Brown, Mrs. Thomas William Solo",1,female,40,2nd,2nd
"Bryhl, Miss. Dagmar Jenny Ingeb",1,female,20,2nd,2nd
"Bryhl, Mr. Kurt Ar0ld Gottfrid",0,male,25,2nd,2nd
"Buss, Miss. Kate",1,female,36,2nd,2nd
"Butler, Mr. Reginald Fenton",0,male,25,2nd,2nd
"Byles, Rev. Thomas Roussel Davi",0,male,42,2nd,2nd
"Bystrom, Mrs. (Karolina)",1,female,42,2nd,2nd
"Caldwell, Master. Alden Gates",1,male,0.833299994,2nd,2nd
"Caldwell, Mr. Albert Francis",1,male,26,2nd,2nd
"Caldwell, Mrs. Albert Francis (",1,female,22,2nd,2nd
"Cameron, Miss. Clear Annie",1,female,35,2nd,2nd
"Campbell, Mr. William",0,male,NA,2nd,2nd
"Carbines, Mr. William",0,male,19,2nd,2nd
"Carter, Mrs. Ernest Courtenay (",0,female,44,2nd,2nd
"Carter, Rev. Ernest Courtenay",0,male,54,2nd,2nd
"Chapman, Mr. Charles Henry",0,male,52,2nd,2nd
"Chapman, Mr. John Henry",0,male,37,2nd,2nd
"Chapman, Mrs. John Henry (Sara",0,female,29,2nd,2nd
"Christy, Miss. Julie Rachel",1,female,25,2nd,2nd
"Christy, Mrs. (Alice Frances)",1,female,45,2nd,2nd
"Clarke, Mr. Charles Valentine",0,male,29,2nd,2nd
"Clarke, Mrs. Charles V (Ada Mar",1,female,28,2nd,2nd
"Coleridge, Mr. Reginald Charles",0,male,29,2nd,2nd
"Collander, Mr. Erik Gustaf",0,male,28,2nd,2nd
"Collett, Mr. Sidney C Stuart",1,male,24,2nd,2nd
"Collyer, Miss. Marjorie Lottie",1,female,8,2nd,2nd
"Collyer, Mr. Harvey",0,male,31,2nd,2nd
"Collyer, Mrs. Harvey (Charlotte",1,female,31,2nd,2nd
"Cook, Mrs. (Selena Rogers)",1,female,22,2nd,2nd
"Corbett, Mrs. Walter H (Irene C",0,female,30,2nd,2nd
"Corey, Mrs. Percy C (Mary Phyll",0,female,NA,2nd,2nd
"Cotterill, Mr. Henry Harry",0,male,21,2nd,2nd
"Cunningham, Mr. Alfred Fleming",0,male,NA,2nd,2nd
"Davies, Master. John Morgan Jr",1,male,8,2nd,2nd
"Davies, Mr. Charles Henry",0,male,18,2nd,2nd
"Davies, Mrs. John Morgan (Eliza",1,female,48,2nd,2nd
"Davis, Miss. Mary",1,female,28,2nd,2nd
"de Brito, Mr. Jose Joaquim",0,male,32,2nd,2nd
"Deacon, Mr. Percy William",0,male,17,2nd,2nd
"del Carlo, Mr. Sebastia0",0,male,29,2nd,2nd
"del Carlo, Mrs. Sebastia0 (Arg",1,female,24,2nd,2nd
"Denbury, Mr. Herbert",0,male,25,2nd,2nd
"Dibden, Mr. William",0,male,18,2nd,2nd
"Doling, Miss. Elsie",1,female,18,2nd,2nd
"Doling, Mrs. John T (Ada Julia",1,female,34,2nd,2nd
"Downton, Mr. William James",0,male,54,2nd,2nd
"Drew, Master. Marshall Brines",1,male,8,2nd,2nd
"Drew, Mr. James Vivian",0,male,42,2nd,2nd
"Drew, Mrs. James Vivian (Lulu T",1,female,34,2nd,2nd
"Duran y More, Miss. Asuncion",1,female,27,2nd,2nd
"Duran y More, Miss. Florentina",1,female,30,2nd,2nd
"Eitemiller, Mr. George Floyd",0,male,23,2nd,2nd
"Enander, Mr. Ingvar",0,male,21,2nd,2nd
"Fahlstrom, Mr. Arne Jonas",0,male,18,2nd,2nd
"Faunthorpe, Mr. Harry",0,male,40,2nd,2nd
"Faunthorpe, Mrs. Lizzie (Elizab",1,female,29,2nd,2nd
"Fillbrook, Mr. Joseph Charles",0,male,18,2nd,2nd
"Fox, Mr. Stanley Hubert",0,male,36,2nd,2nd
"Frost, Mr. Anthony Wood Archie",0,male,NA,2nd,2nd
"Funk, Miss. Annie Clemmer",0,female,38,2nd,2nd
"Fynney, Mr. Joseph J",0,male,35,2nd,2nd
"Gale, Mr. Harry",0,male,38,2nd,2nd
"Gale, Mr. Shadrach",0,male,34,2nd,2nd
"Garside, Miss. Ethel",1,female,34,2nd,2nd
"Gaskell, Mr. Alfred",0,male,16,2nd,2nd
"Gavey, Mr. Lawrence",0,male,26,2nd,2nd
"Gilbert, Mr. William",0,male,47,2nd,2nd
"Giles, Mr. Edgar",0,male,21,2nd,2nd
"Giles, Mr. Frederick Edward",0,male,21,2nd,2nd
"Giles, Mr. Ralph",0,male,24,2nd,2nd
"Gill, Mr. John William",0,male,24,2nd,2nd
"Gillespie, Mr. William Henry",0,male,34,2nd,2nd
"Givard, Mr. Hans Kristensen",0,male,30,2nd,2nd
"Greenberg, Mr. Samuel",0,male,52,2nd,2nd
"Hale, Mr. Reginald",0,male,30,2nd,2nd
"Hamalainen, Master. Viljo",1,male,0.666700006,2nd,2nd
"Hamalainen, Mrs. William (Anna)",1,female,24,2nd,2nd
"Harbeck, Mr. William H",0,male,44,2nd,2nd
"Harper, Miss. Annie Jessie Nin",1,female,6,2nd,2nd
"Harper, Rev. John",0,male,28,2nd,2nd
"Harris, Mr. George",1,male,62,2nd,2nd
"Harris, Mr. Walter",0,male,30,2nd,2nd
"Hart, Miss. Eva Miriam",1,female,7,2nd,2nd
"Hart, Mr. Benjamin",0,male,43,2nd,2nd
"Hart, Mrs. Benjamin (Esther Ada",1,female,45,2nd,2nd
"Herman, Miss. Alice",1,female,24,2nd,2nd
"Herman, Miss. Kate",1,female,24,2nd,2nd
"Herman, Mr. Samuel",0,male,49,2nd,2nd
"Herman, Mrs. Samuel (Jane Laver",1,female,48,2nd,2nd
"Hewlett, Mrs. (Mary D Kingcome)",1,female,55,2nd,2nd
"Hickman, Mr. Leonard Mark",0,male,24,2nd,2nd
"Hickman, Mr. Lewis",0,male,32,2nd,2nd
"Hickman, Mr. Stanley George",0,male,21,2nd,2nd
"Hiltunen, Miss. Marta",0,female,18,2nd,2nd
"Hocking, Miss. Ellen Nellie",1,female,20,2nd,2nd
"Hocking, Mr. Richard George",0,male,23,2nd,2nd
"Hocking, Mr. Samuel James Metca",0,male,36,2nd,2nd
"Hocking, Mrs. Elizabeth (Eliza",1,female,54,2nd,2nd
"Hodges, Mr. Henry Price",0,male,50,2nd,2nd
"Hold, Mr. Stephen",0,male,44,2nd,2nd
"Hold, Mrs. Stephen (Annie Marga",1,female,29,2nd,2nd
"Hood, Mr. Ambrose Jr",0,male,21,2nd,2nd
"Hoso0, Mr. Masabumi",1,male,42,2nd,2nd
"Howard, Mr. Benjamin",0,male,63,2nd,2nd
